AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,31,28,26,23,23,22,79,71,54,1016,1014,1012,31,16,10,40,31,58,0.25,1,,83
1/2/2015,31,29,26,24,23,22,89,72,55,1016,1014,1012,31,14,3,48,34,69,0.25,2,,77
1/3/2015,31,28,25,24,23,21,89,73,54,1018,1015,1009,31,12,2,127,37,69,2.03,3,Rain,76
1/4/2015,31,28,24,23,23,22,89,76,59,1017,1015,1006,31,15,10,45,29,61,2.03,2,Rain,76
1/5/2015,30,27,24,24,23,22,89,75,62,1018,1016,1014,31,15,10,40,31,50,0.51,2,Rain,75
1/6/2015,30,27,23,23,22,21,89,71,53,1017,1015,1013,31,14,10,40,27,,3.05,1,,79
1/7/2015,31,27,24,23,22,21,83,72,52,1016,1013,1011,31,14,10,39,26,58,0.51,2,Rain,86
1/8/2015,30,28,26,22,22,21,78,70,54,1015,1013,1012,31,12,10,37,26,52,0,2,,80
1/9/2015,30,28,26,24,22,21,89,73,56,1015,1013,1012,26,12,2,40,32,60,0.51,2,Rain,81
1/10/2015,31,28,26,24,23,23,84,75,59,1016,1014,1012,26,14,10,42,31,61,0,2,Rain,76
1/11/2015,30,28,26,24,23,23,84,76,62,1015,1013,1011,26,13,10,45,34,63,0.51,2,Rain,81
1/12/2015,30,28,26,24,23,23,84,76,62,1015,1013,1011,31,14,10,42,31,55,0.25,2,,76
1/13/2015,31,28,25,24,23,3,89,75,21,1015,1012,1010,31,15,10,42,32,63,0.51,2,Rain,81
1/14/2015,30,28,26,24,23,22,84,77,59,1013,1011,1010,31,15,10,40,29,,0,2,,85
1/15/2015,31,28,26,24,23,23,89,77,61,1013,1012,1010,31,14,10,37,29,52,0,3,,80
1/16/2015,31,28,26,24,24,23,89,77,58,1014,1012,1010,26,14,10,138,31,53,0,3,Rain,78
1/17/2015,31,28,26,24,23,23,89,77,59,1014,1013,1011,31,14,10,27,21,,0,2,,76
1/18/2015,31,28,26,24,23,22,89,75,54,1015,1013,1011,31,15,10,34,23,,0,3,,74
1/19/2015,31,28,25,23,22,21,89,73,55,1015,1013,1011,31,15,10,27,19,,0,1,,72
1/20/2015,30,28,25,23,22,21,89,71,53,1014,1012,1010,31,15,10,47,23,45,0.25,2,,77
1/21/2015,31,28,25,23,22,21,83,70,49,1014,1012,1011,31,12,10,32,23,47,0,2,,74
1/22/2015,31,28,25,23,22,21,83,71,44,1015,1013,1012,10,10,10,32,23,53,0,1,,70
1/23/2015,31,28,25,23,22,21,83,72,51,1015,1013,1010,21,10,10,159,23,,0,2,,73
1/24/2015,30,28,25,23,22,22,83,73,58,1015,1013,1011,10,10,10,32,23,50,0,2,,91
1/25/2015,31,28,26,23,22,22,83,71,51,1014,1012,1010,31,13,10,39,29,53,0,2,,84
1/26/2015,31,27,23,23,23,21,97,75,58,1013,1011,1010,31,15,10,35,29,53,0,2,,82
1/27/2015,31,28,25,23,23,22,83,73,55,1013,1011,1009,31,15,10,34,26,52,0,2,,88
1/28/2015,31,28,26,23,22,21,83,71,54,1014,1011,1009,31,16,10,39,27,58,0,1,,85
1/29/2015,31,28,25,24,22,21,84,74,58,1013,1011,1010,31,15,10,37,26,53,0,1,,77
1/30/2015,31,28,25,23,23,22,83,73,49,1014,1012,1010,31,15,10,37,26,55,0,2,,84
1/31/2015,30,28,26,25,23,22,84,76,60,1014,1012,1011,31,15,5,32,26,47,0.51,2,Rain,69
2/1/2015,31,29,26,24,23,23,89,75,56,1015,1013,1011,31,14,10,40,29,60,0,2,,78
2/2/2015,31,29,26,23,22,21,83,69,51,1015,1013,1011,31,12,2,40,29,58,0,1,,83
2/3/2015,31,28,25,23,22,21,83,71,54,1015,1013,1011,26,13,10,48,32,69,0,2,Rain,82
2/4/2015,31,29,26,24,23,22,79,72,55,1014,1012,1010,26,13,10,48,34,66,0,2,,80
2/5/2015,31,28,26,23,22,22,83,71,50,1013,1011,1009,18,11,10,47,34,63,0,1,,87
2/6/2015,31,28,25,23,22,21,78,70,52,1013,1011,1010,19,12,10,39,27,55,0,1,,81
2/7/2015,31,28,25,23,22,20,83,70,47,1014,1012,1009,31,14,10,34,21,,0,1,,78
2/8/2015,30,28,25,24,23,22,89,78,54,1015,1012,1010,31,15,10,27,16,,0,3,,98
2/9/2015,29,26,23,24,23,21,89,79,62,1014,1011,1009,31,13,10,26,14,,0,2,,101
2/10/2015,31,28,25,25,23,22,89,78,59,1012,1010,1008,10,10,10,24,16,,0,1,,93
2/11/2015,31,28,25,25,24,23,94,81,60,1013,1011,1009,26,13,10,19,6,34,0,2,,16
2/12/2015,31,28,26,25,24,23,89,78,60,1015,1013,1011,31,15,10,24,11,,0,3,,54
2/13/2015,32,29,26,25,24,23,89,77,58,1015,1013,1011,31,15,10,32,19,,0,2,,77
2/14/2015,32,29,26,24,24,23,84,74,55,1014,1013,1009,31,15,10,37,26,55,0,2,,84
2/15/2015,32,29,26,25,23,22,79,70,51,1015,1013,1011,31,15,10,39,27,53,0,1,,80
2/16/2015,31,28,26,23,22,21,83,69,52,1015,1013,1011,31,12,10,40,27,61,0,1,,74
2/17/2015,32,28,25,23,22,21,83,70,50,1015,1012,1011,10,10,10,40,31,58,0.25,2,,80
2/18/2015,31,29,26,24,23,22,83,72,55,1014,1012,1010,10,10,10,37,31,58,0,2,,87
2/19/2015,32,29,26,23,23,22,83,70,53,1014,1012,1010,10,10,10,34,24,,0,2,,75
2/20/2015,32,28,25,23,22,21,79,71,50,1015,1012,1011,10,10,10,34,21,58,0,2,Rain,69
2/21/2015,31,28,26,23,23,22,79,71,56,1016,1014,1012,26,11,10,35,26,48,0,2,,69
2/22/2015,32,29,26,23,22,22,79,70,51,1015,1013,1011,10,10,10,39,29,58,0,2,,74
2/23/2015,31,27,23,24,22,21,89,73,56,1015,1013,1011,10,10,10,42,29,60,3.05,2,Rain,80
2/24/2015,31,28,26,23,22,21,78,69,54,1014,1012,1010,10,10,10,61,29,50,0,2,,79
2/25/2015,32,29,26,23,22,22,83,70,51,1014,1012,1010,10,10,10,40,32,61,0,1,,85
2/26/2015,31,29,26,23,22,21,79,69,52,1014,1012,1010,10,10,10,42,35,58,0,2,,88
2/27/2015,32,29,26,24,23,22,84,72,53,1015,1013,1011,31,11,10,42,34,58,0,2,,82
2/28/2015,32,29,26,24,23,22,89,72,55,1016,1014,1012,10,10,10,47,35,63,0.25,3,Rain,77
3/1/2015,31,27,23,23,22,21,94,74,50,1017,1015,1013,10,10,3,40,29,66,3.05,2,Rain,72
3/2/2015,31,27,23,23,22,21,89,70,49,1016,1014,1012,10,10,10,34,24,50,0.51,3,Rain,70
3/3/2015,31,28,24,23,22,21,83,71,49,1015,1013,1011,10,10,10,34,24,48,0,1,,69
3/4/2015,30,27,23,25,23,22,91,80,66,1015,1012,1011,26,10,3,39,31,63,3.05,3,Rain,76
3/5/2015,30,27,23,23,23,22,94,79,59,1015,1013,1011,31,10,6,42,32,61,12.95,3,Rain,76
3/6/2015,31,28,25,22,21,21,78,67,52,1016,1014,1012,10,10,10,45,35,64,0,1,,78
3/7/2015,31,27,24,23,22,21,89,73,53,1016,1014,1012,31,11,10,45,29,63,0.51,2,Rain,78
3/8/2015,31,28,26,22,21,19,78,64,49,1015,1013,1010,10,10,10,47,35,61,0,1,,75
3/9/2015,31,28,26,23,21,19,74,66,52,1013,1011,1009,10,10,3,47,35,64,0,1,,80
3/10/2015,31,29,26,23,23,22,79,70,54,1014,1012,1010,26,11,10,52,42,74,0,2,,83
3/11/2015,31,29,27,23,22,22,79,69,54,1014,1013,1011,19,12,10,52,40,72,0,2,,76
3/12/2015,31,29,26,23,22,21,79,68,52,1014,1012,1010,26,13,10,47,37,63,0,1,,77
3/13/2015,31,28,25,23,22,20,89,70,58,1013,1012,1010,26,13,10,45,35,53,0.25,1,Rain,74
3/14/2015,31,28,26,23,22,21,78,70,55,1014,1012,1010,19,11,5,45,35,60,0,2,Rain,73
3/15/2015,31,28,25,23,22,20,78,68,51,1015,1012,1011,19,11,10,42,34,55,0,1,Rain,73
3/16/2015,31,28,24,23,22,22,89,72,54,1014,1012,1010,19,12,10,39,27,,0.25,2,Rain,74
3/17/2015,31,28,25,23,22,21,83,71,57,1015,1013,1011,26,13,10,27,23,,0,1,,76
3/18/2015,31,28,25,23,22,21,89,71,53,1014,1012,1010,31,15,10,37,26,53,0.25,1,Rain,75
3/19/2015,31,28,26,24,23,22,84,74,58,1015,1013,1011,31,13,10,34,23,,0,3,,66
3/20/2015,32,29,26,24,23,22,83,72,54,1016,1014,1012,31,14,10,32,23,,0,2,,67
3/21/2015,31,28,24,22,22,20,83,68,45,1016,1014,1012,31,12,10,23,18,35,0,2,,59
3/22/2015,31,27,23,23,22,21,83,70,47,1016,1014,1012,10,10,10,23,11,,0,1,,73
3/23/2015,31,28,24,24,23,22,83,74,59,1016,1014,1012,10,10,10,27,18,,0,2,,84
3/24/2015,32,29,26,24,23,22,83,71,54,1017,1014,1013,10,10,10,29,23,,0,2,,81
3/25/2015,32,29,26,24,23,22,79,72,54,1016,1014,1012,10,10,10,37,26,,0,2,,71
3/26/2015,32,29,26,24,23,23,83,73,60,1015,1013,1011,10,10,10,37,27,,0,3,,79
3/27/2015,32,29,26,24,23,23,89,73,60,1015,1013,1011,31,11,10,40,32,61,0,2,,82
3/28/2015,31,29,26,24,23,22,83,73,56,1016,1014,1011,31,13,10,47,34,63,0,1,,80
3/29/2015,32,29,26,24,23,22,83,72,53,1016,1014,1012,31,14,10,40,31,60,0,2,,83
3/30/2015,31,28,25,23,23,22,89,73,54,1016,1014,1012,31,15,10,34,26,,2.03,2,Rain,71
3/31/2015,31,28,25,24,22,22,83,72,55,1014,1013,1010,31,14,10,35,23,50,0,2,,87
4/1/2015,32,29,26,24,22,21,79,71,51,1014,1012,1010,31,13,10,37,29,50,0,1,,85
4/2/2015,32,29,26,24,23,22,79,69,55,1015,1013,1011,31,17,10,40,31,,0,1,,76
4/3/2015,32,29,26,24,23,23,84,74,56,1014,1012,1010,31,14,10,40,29,55,0,2,,77
4/4/2015,32,29,26,24,23,22,83,73,56,1012,1011,1009,26,14,10,37,27,52,0.51,2,,74
4/5/2015,32,28,25,23,22,2,89,70,17,1013,1011,1009,26,11,10,35,24,48,0.51,2,Rain,67
4/6/2015,32,29,26,24,23,23,84,73,56,1014,1011,1010,10,10,10,40,27,53,0,1,,72
4/7/2015,32,29,26,24,23,22,83,72,55,1013,1011,1010,31,11,10,45,32,66,0,1,,77
4/8/2015,31,29,26,24,23,23,83,73,59,1013,1011,1009,26,13,10,45,32,63,0,2,,79
4/9/2015,32,29,26,24,23,22,79,73,54,1013,1011,1010,26,14,10,45,35,64,0,2,,80
4/10/2015,32,29,26,24,23,22,79,70,54,1013,1012,1010,26,14,10,45,37,60,0,2,,80
4/11/2015,32,29,27,24,23,23,79,73,57,1013,1011,1009,26,13,10,48,39,69,0,1,,81
4/12/2015,31,29,27,24,23,23,79,73,55,1014,1012,1010,19,12,10,47,35,60,0,1,,75
4/13/2015,32,29,27,24,23,23,79,73,60,1015,1013,1011,18,11,10,45,35,64,0,3,,78
4/14/2015,32,29,26,24,23,23,79,73,56,1016,1013,1011,26,13,10,47,32,61,0,2,,80
4/15/2015,32,29,26,24,23,23,83,73,54,1015,1013,1010,26,13,10,45,34,61,0,1,,77
4/16/2015,32,29,26,24,24,23,84,73,57,1015,1013,1010,18,11,10,42,32,60,0,2,,75
4/17/2015,32,29,26,24,24,23,84,73,54,1014,1013,1010,14,11,10,39,29,50,0,2,,76
4/18/2015,31,28,26,24,23,23,84,76,58,1014,1012,1010,11,10,10,37,29,55,0,2,,84
4/19/2015,32,29,27,25,24,23,84,74,58,1013,1011,1008,11,10,10,45,34,60,0,2,,82
4/20/2015,32,29,27,24,23,23,84,74,58,1013,1011,1009,11,10,10,48,34,58,0,2,,85
4/21/2015,32,29,26,24,23,22,84,73,56,1014,1012,1010,11,10,10,40,31,60,0,1,,85
4/22/2015,31,28,26,23,22,21,79,69,55,1014,1011,1009,31,11,10,37,31,52,0,2,,82
4/23/2015,31,29,26,24,23,22,79,72,54,1013,1011,1009,31,12,10,35,31,,0,2,,81
4/24/2015,32,29,26,25,23,22,84,76,61,1012,1011,1009,19,13,10,35,29,,0,1,,84
4/25/2015,32,29,26,25,24,23,89,77,59,1012,1011,1009,14,11,10,40,32,61,0,2,,81
4/26/2015,33,29,26,26,25,24,89,78,61,1011,1009,1007,11,10,10,40,32,60,0,1,,71
4/27/2015,33,29,26,26,24,24,89,76,58,1010,1009,1006,11,10,9,40,29,58,0,1,,87
4/28/2015,33,30,27,25,24,24,84,76,55,1011,1008,1005,10,8,6,42,29,63,0,1,,87
4/29/2015,33,30,26,25,24,23,84,73,48,1010,1008,1006,10,7,6,47,32,72,0,1,,93
4/30/2015,33,29,26,25,24,23,84,74,56,1011,1009,1006,10,7,3,52,32,71,0,1,,88
5/1/2015,32,29,26,25,23,22,83,74,57,1013,1010,1007,10,10,10,39,29,58,0,2,,87
5/2/2015,32,28,25,25,23,22,84,74,58,1012,1009,1007,10,10,9,40,29,60,0,2,,78
5/3/2015,32,29,26,24,23,23,84,72,60,1012,1010,1008,14,10,9,42,37,61,0,3,,76
5/4/2015,32,29,26,24,23,23,84,73,57,1013,1011,1009,11,9,8,52,39,71,0,2,,84
5/5/2015,33,30,27,24,23,23,79,72,51,1014,1012,1010,10,8,8,50,42,72,0,2,,87
5/6/2015,32,29,26,24,23,22,79,73,59,1014,1012,1010,10,9,8,50,39,71,0,2,,83
5/7/2015,32,29,26,24,23,23,84,74,60,1013,1011,1008,10,9,6,55,39,84,0,2,,83
5/8/2015,32,29,26,24,23,22,79,73,58,1013,1011,1008,10,7,6,53,39,82,0,2,,85
5/9/2015,32,29,27,24,23,22,79,73,55,1013,1011,1009,6,6,6,52,40,71,0,2,,81
5/10/2015,32,29,27,24,23,23,84,74,58,1013,1012,1009,7,7,6,55,39,74,0,2,,81
5/11/2015,32,29,27,25,24,23,84,75,60,1014,1012,1010,11,9,6,50,37,69,0,2,,83
5/12/2015,32,29,27,24,23,23,84,74,59,1014,1012,1010,11,10,10,48,39,71,0,2,,83
5/13/2015,32,29,27,24,24,23,84,74,57,1013,1012,1010,14,11,10,121,37,69,0,2,,82
5/14/2015,32,29,26,24,23,23,84,74,54,1014,1012,1010,14,10,8,45,32,52,0,3,,82
5/15/2015,32,29,27,24,23,23,84,74,60,1014,1012,1011,10,9,5,42,35,61,0,2,,77
5/16/2015,31,29,26,24,23,23,83,73,58,1015,1013,1011,10,10,10,48,37,64,0,1,,82
5/17/2015,31,29,26,24,23,22,84,73,58,1015,1014,1012,11,10,10,40,35,58,0,2,,78
5/18/2015,31,29,26,24,24,23,84,75,60,1015,1013,1011,26,12,10,45,34,,0,2,,75
5/19/2015,31,28,26,25,24,23,89,78,62,1014,1012,1010,26,14,10,39,29,55,0,2,,77
5/20/2015,32,29,27,26,24,24,84,77,62,1013,1011,1008,26,14,10,40,31,63,0,3,,80
5/21/2015,32,29,26,25,24,23,84,76,60,1013,1011,1009,26,13,10,47,34,61,0,1,,81
5/22/2015,32,29,27,25,24,23,84,76,63,1015,1014,1012,19,11,9,40,34,58,0,2,,82
5/23/2015,32,29,27,25,24,23,84,74,62,1016,1014,1012,19,11,9,45,37,60,0,2,,82
5/24/2015,32,29,27,25,24,23,84,74,60,1014,1013,1011,14,10,10,47,39,66,0,2,,80
5/25/2015,32,29,27,24,23,22,79,71,54,1014,1013,1011,14,10,10,45,34,63,0,2,,80
5/26/2015,32,29,26,24,23,23,84,73,54,1014,1013,1010,26,13,10,37,29,52,0,1,,80
5/27/2015,32,29,26,24,23,23,79,72,56,1012,1011,1009,26,13,10,39,31,53,0,2,,80
5/28/2015,31,29,27,25,24,23,84,75,60,1012,1011,1009,31,15,10,35,31,52,0,3,,79
5/29/2015,31,29,27,25,24,23,89,79,66,1013,1011,1009,31,13,10,35,29,,0,2,,92
5/30/2015,31,28,25,25,24,24,89,81,66,1013,1011,1009,26,11,5,39,29,58,0,3,,73
5/31/2015,31,29,27,26,24,24,84,77,64,1013,1011,1009,26,13,10,47,34,61,0,1,,82
6/1/2015,32,29,27,25,24,24,84,76,61,1014,1012,1009,19,12,10,42,35,61,0,2,,88
6/2/2015,32,29,27,25,24,24,84,76,57,1013,1010,1007,26,14,10,47,37,69,0,2,,82
6/3/2015,32,29,27,26,24,24,89,78,63,1011,1010,1006,26,14,10,47,35,69,0,2,,85
6/4/2015,32,29,27,26,25,24,89,78,62,1012,1010,1007,26,13,10,50,37,71,0,2,,81
6/5/2015,32,29,27,26,25,24,84,77,63,1013,1011,1008,26,13,10,42,34,60,0,2,,87
6/6/2015,33,30,27,26,25,24,89,78,59,1012,1010,1007,26,14,10,47,32,61,0,2,,83
6/7/2015,32,29,27,26,25,24,89,76,60,1013,1011,1009,26,13,10,45,32,66,0,3,,87
6/8/2015,32,29,27,25,24,23,84,76,61,1014,1012,1011,18,11,10,40,32,53,0,2,,85
6/9/2015,32,29,26,27,24,23,100,75,59,1014,1012,1010,19,12,10,40,32,60,0,2,,82
6/10/2015,32,29,27,25,24,23,84,75,58,1013,1012,1010,26,13,10,37,29,47,0,2,,80
6/11/2015,32,29,26,26,24,23,84,76,64,1014,1012,1010,31,15,10,47,34,69,0,2,,82
6/12/2015,32,29,27,26,24,23,84,77,61,1014,1012,1011,31,15,10,45,35,64,0,2,,85
6/13/2015,32,29,27,26,24,24,84,75,59,1014,1012,1010,31,13,10,148,39,58,0,2,,81
6/14/2015,32,30,27,26,24,24,84,76,61,1014,1012,1010,19,12,10,48,35,50,0,3,,80
6/15/2015,32,29,27,26,24,24,89,77,63,1014,1012,1010,14,11,10,45,35,63,0,2,,78
6/16/2015,32,29,27,26,25,24,89,78,62,1014,1012,1009,19,12,10,52,34,71,0,2,,81
6/17/2015,32,29,27,26,25,24,84,78,62,1013,1012,1010,19,12,10,47,39,69,0,2,,82
6/18/2015,32,30,27,26,25,24,84,78,63,1014,1012,1010,19,10,9,50,37,66,0,2,,80
6/19/2015,32,30,27,26,25,24,89,79,66,1014,1012,1010,10,9,9,45,37,58,0,2,,79
6/20/2015,32,29,27,26,24,24,84,77,62,1015,1013,1011,11,9,8,42,32,61,0,1,,80
6/21/2015,32,29,26,26,24,16,84,75,28,1016,1014,1012,11,10,10,40,31,61,0,1,,79
6/22/2015,32,29,26,26,25,24,94,81,66,1014,1013,1011,31,13,10,42,32,61,1.02,2,Rain,77
6/23/2015,31,29,27,26,25,24,89,81,68,1015,1013,1011,31,15,10,47,34,64,0,2,Thunderstorm,84
6/24/2015,32,29,26,26,25,24,89,77,61,1015,1014,1011,31,15,10,52,37,66,0,2,,88
6/25/2015,32,29,27,26,24,24,84,76,62,1015,1014,1012,31,12,10,48,39,69,0,2,,82
6/26/2015,32,29,26,26,24,24,89,78,63,1015,1014,1012,14,11,10,48,35,66,0,1,,82
6/27/2015,32,29,27,26,25,24,89,81,66,1015,1013,1011,18,11,10,42,37,63,0,2,,86
6/28/2015,31,28,26,26,25,24,94,82,73,1015,1013,1012,19,12,10,42,35,60,4.06,2,Rain,85
6/29/2015,32,29,27,26,25,24,89,79,63,1016,1014,1012,26,13,10,45,34,66,0.25,2,Rain,78
